date,15_min_interval,departure_station_id,predicted_rides,chosen_arrival_station
2020-08-01,00:00:00,41,2,289.0
2020-08-01,00:00:00,41,2,289.0
2020-08-01,00:00:00,56,2,130.0
2020-08-01,00:00:00,56,2,130.0
2020-08-01,00:00:00,72,2,156.0
2020-08-01,00:00:00,72,2,156.0
2020-08-01,00:00:00,112,3,217.0
2020-08-01,00:00:00,112,3,217.0
2020-08-01,00:00:00,112,3,217.0
2020-08-01,00:00:00,122,2,84.0
2020-08-01,00:00:00,122,2,84.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,166,6,67.0
2020-08-01,00:00:00,176,2,250.0
2020-08-01,00:00:00,176,2,250.0
2020-08-01,00:00:00,180,5,172.0
2020-08-01,00:00:00,180,5,172.0
2020-08-01,00:00:00,180,5,172.0
2020-08-01,00:00:00,180,5,172.0
2020-08-01,00:00:00,180,5,172.0
2020-08-01,00:00:00,185,3,302.0
2020-08-01,00:00:00,185,3,302.0
2020-08-01,00:00:00,185,3,302.0
2020-08-01,00:00:00,196,5,461.0
2020-08-01,00:00:00,196,5,461.0
2020-08-01,00:00:00,196,5,461.0
2020-08-01,00:00:00,196,5,461.0
2020-08-01,00:00:00,196,5,461.0
2020-08-01,00:00:00,214,1,170.0
2020-08-01,00:00:00,313,5,277.0
2020-08-01,00:00:00,313,5,277.0
2020-08-01,00:00:00,313,5,277.0
2020-08-01,00:00:00,313,5,277.0
2020-08-01,00:00:00,313,5,277.0
2020-08-01,00:00:00,331,2,208.0
2020-08-01,00:00:00,331,2,208.0
2020-08-01,00:00:00,346,2,43.0
2020-08-01,00:00:00,346,2,43.0
2020-08-01,00:00:00,354,1,217.0
2020-08-01,00:00:00,375,2,37.0
2020-08-01,00:00:00,375,2,37.0
2020-08-01,00:00:00,387,2,220.0
2020-08-01,00:00:00,387,2,220.0
2020-08-01,00:00:00,389,2,56.0
2020-08-01,00:00:00,389,2,56.0
2020-08-01,00:00:00,413,2,220.0
2020-08-01,00:00:00,413,2,220.0
2020-08-01,00:00:00,416,1,110.0
2020-08-01,00:00:00,429,4,302.0
2020-08-01,00:00:00,429,4,302.0
2020-08-01,00:00:00,429,4,302.0
2020-08-01,00:00:00,429,4,302.0
2020-08-01,00:00:00,455,1,505.0
2020-08-01,00:00:00,489,1,302.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,501,7,250.0
2020-08-01,00:00:00,515,1,59.0
2020-08-01,00:00:00,554,1,277.0
2020-08-01,00:00:00,564,1,150.0
2020-08-01,00:00:00,573,1,303.0
2020-08-01,00:00:00,593,3,22.0
2020-08-01,00:00:00,593,3,22.0
2020-08-01,00:00:00,593,3,22.0
2020-08-01,00:00:00,599,3,284.0
2020-08-01,00:00:00,599,3,284.0
2020-08-01,00:00:00,599,3,284.0
2020-08-01,00:00:00,624,4,306.0
2020-08-01,00:00:00,624,4,306.0
2020-08-01,00:00:00,624,4,306.0
2020-08-01,00:00:00,624,4,306.0
2020-08-01,00:00:00,655,2,220.0
2020-08-01,00:00:00,655,2,220.0
2020-08-01,00:00:00,675,1,303.0
2020-08-01,00:00:00,832,1,299.0
2020-08-01,00:00:00,837,1,217.0
2020-08-01,00:00:00,848,1,217.0
2020-08-01,00:00:00,883,1,44.0
2020-08-01,00:00:00,907,2,289.0
2020-08-01,00:00:00,907,2,289.0
2020-08-01,00:00:00,1007,4,44.0
2020-08-01,00:00:00,1007,4,44.0
2020-08-01,00:00:00,1007,4,44.0
2020-08-01,00:00:00,1007,4,44.0
2020-08-01,00:00:00,1227,4,43.0
2020-08-01,00:00:00,1227,4,43.0
2020-08-01,00:00:00,1227,4,43.0
2020-08-01,00:00:00,1227,4,43.0
2020-08-01,00:00:00,1260,2,237.0
2020-08-01,00:00:00,1260,2,237.0
2020-08-01,00:15:00,1290,1,85.0
2020-08-01,00:15:00,1293,2,138.0
2020-08-01,00:15:00,1293,2,138.0
2020-08-01,00:15:00,1315,2,230.0
2020-08-01,00:15:00,1315,2,230.0
