15_min_interval,departure_station_id,chosen_arrival_station,ride
00:00:00,41,41.0,1
00:00:00,56,56.0,1
00:00:00,56,56.0,1
00:00:00,56,85.0,1
00:00:00,72,56.0,1
00:00:00,112,72.0,1
00:00:00,112,72.0,1
00:00:00,112,72.0,1
00:00:00,112,72.0,1
00:00:00,112,72.0,1
00:00:00,134,17.0,1
00:00:00,134,134.0,1
00:00:00,134,134.0,1
00:00:00,166,166.0,1
00:00:00,166,134.0,1
00:00:00,180,180.0,1
00:00:00,185,44.0,1
00:00:00,185,185.0,1
00:00:00,196,313.0,1
00:00:00,214,185.0,1
00:00:00,214,185.0,1
00:00:00,313,196.0,1
00:00:00,331,199.0,1
00:00:00,331,214.0,1
00:00:00,331,214.0,1
00:00:00,331,214.0,1
00:00:00,331,214.0,1
00:00:00,346,346.0,1
00:00:00,346,19.0,1
00:00:00,375,346.0,1
00:00:00,387,375.0,1
00:00:00,387,375.0,1
00:00:00,413,387.0,1
00:00:00,413,220.0,1
00:00:00,423,387.0,1
00:00:00,429,423.0,1
00:00:00,429,423.0,1
00:00:00,429,423.0,1
00:00:00,455,413.0,1
00:00:00,455,413.0,1
00:00:00,455,413.0,1
00:00:00,455,413.0,1
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,501,13.0,11
00:00:00,515,13.0,1
00:00:00,515,515.0,1
00:00:00,529,515.0,1
00:00:00,529,515.0,1
00:00:00,529,515.0,1
00:00:00,554,554.0,1
00:00:00,564,564.0,1
00:00:00,573,573.0,1
00:00:00,593,296.0,1
00:00:00,593,296.0,1
00:00:00,599,593.0,1
00:00:00,599,198.0,1
00:00:00,599,593.0,1
00:00:00,610,610.0,1
00:00:00,624,150.0,1
00:00:00,624,624.0,1
00:00:00,655,624.0,1
00:00:00,675,655.0,1
00:00:00,735,675.0,1
00:00:00,832,44.0,1
00:00:00,832,735.0,1
00:00:00,832,44.0,1
00:00:00,845,429.0,1
